State Code,Dist.Code,State,Area Name,No_HH,F_SC,M_ST,F_ST,M_LIT,M_ILL,MAINWORK_M,MAIN_CL_M,MAIN_AL_M,MAIN_HH_M,MARGWORK_M,MARG_HH_F,MARG_OT_F,MARGWORK_3_6_M,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_F,MARG_CL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_M,MARG_HH_0_3_F
9,189,Uttar Pradesh,Kushinagar,68826.0,32611.0,3411.0,4939.0,101248.0,52547.0,23533.0,6635.0,8161.0,1139.0,20094.375,1781.0,5950.0,103917.0,16859.5,23965.0,2111.75,3649.0,603.0,1195.0,4814.0,3550.75,1258.375,1400.25,3829.875
9,190,Uttar Pradesh,Deoria,86273.0,41050.0,7394.0,11004.0,137976.0,58922.0,30324.0,8182.0,5668.0,1599.0,20094.375,1977.0,5804.0,118734.5,16859.5,22309.0,2111.75,4401.625,603.0,1194.0,4353.0,3550.75,1258.375,1400.25,3829.875
9,191,Uttar Pradesh,Azamgarh,132543.0,64545.125,723.0,963.0,163026.75,60896.25,63033.0,16202.25,12163.0,2466.875,20094.375,2148.625,9380.0,118734.5,16859.5,31227.75,2111.75,4401.625,603.0,1606.5,7296.0,3550.75,1258.375,1400.25,3829.875
9,192,Uttar Pradesh,Mau,53365.0,40461.0,1620.0,2339.0,94441.0,39966.0,27204.0,6535.0,4548.0,2466.875,18606.0,2148.625,4703.0,88597.0,14560.0,17011.0,1906.0,2858.0,603.0,1606.5,3695.0,3550.75,1020.0,1400.25,3209.0
9,193,Uttar Pradesh,Ballia,69592.0,32585.0,5977.0,7796.0,125854.0,53460.0,36303.0,8964.0,9436.0,2233.0,20094.375,2148.625,8984.0,116797.0,16859.5,22738.0,2111.75,2537.0,603.0,1606.5,7710.0,3550.75,820.0,1400.25,3444.0
9,194,Uttar Pradesh,Jaunpur,140218.0,64545.125,414.0,556.0,163026.75,60896.25,69749.0,16202.25,15085.0,2466.875,20094.375,2148.625,9393.625,118734.5,16859.5,31227.75,2111.75,4401.625,603.0,1606.5,7776.0,3550.75,1258.375,1400.25,3829.875
9,195,Uttar Pradesh,Ghazipur,93270.0,58041.0,1904.0,2576.0,159069.0,60896.25,53960.0,16202.25,13795.0,2244.0,20094.375,2148.625,6803.0,118734.5,16859.5,27232.0,2111.75,4401.625,603.0,1606.5,5707.0,3550.75,1258.375,1400.25,3829.875
9,196,Uttar Pradesh,Chandauli,32744.0,22819.0,1802.0,2395.0,62654.0,26523.0,20135.0,4693.0,3966.0,1848.0,15245.0,1743.0,3706.0,53797.0,12250.0,11163.0,1203.0,1330.0,603.0,1226.0,2809.0,2995.0,594.0,1303.0,2038.0
9,197,Uttar Pradesh,Varanasi,79172.0,36197.0,1694.0,2191.0,159152.0,60896.25,76316.0,9762.0,6482.0,2466.875,19734.0,2148.625,8254.0,118734.5,16393.0,17595.0,1490.0,3188.0,603.0,1606.5,7029.0,3341.0,1149.0,963.0,2055.0
9,198,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),35813.0,26775.0,69.0,116.0,67143.0,30941.0,22357.0,4416.0,2501.0,2466.875,11017.0,1944.0,3739.0,64710.0,8585.0,10071.0,1007.0,1847.0,603.0,1371.0,2722.0,2432.0,902.0,843.0,1930.0
